"Image","SizeKB","Width","Height","UsedIn"
"img\collage1.png","3174.33","1560","1074","(not referenced)"
"img\collage2-bkp.png","2226.04","1078","1074","(not referenced)"
"img\collage2.png","1641.46","1078","1074","(not referenced)"
"img\slider\slide9.jpg","1445.41","4000","2670","(not referenced)"
"img\dish\Velvet-Taco.jpg","1342.25","5619","3746","(not referenced)"
"img\slider\assembly_hp_hero.png","919.82","1920","999","(not referenced)"
"img\spices.png","916.15","1920","999","(not referenced)"
"img\slider\spices.png","916.15","1920","999","(not referenced)"
"img\slider\slide1.png","816.77","1920","999","(not referenced)"
"img\slider\authentic.png","788.13","1920","999","(not referenced)"
"img\slider\slide4.png","767.45","1920","999","(not referenced)"
"css\color\img\slider\slide1-1.jpg","719.61","1920","999","(not referenced)"
"img\special-dishes-back1.png","675.94","1920","731","(not referenced)"
"img\slider\slide2.png","672.17","1920","999","(not referenced)"
"css\color\img\slider\slide1-3.jpg","671.72","1920","999","(not referenced)"
"img\slider\slide5.png","658.17","1920","999","(not referenced)"
"css\color\img\slider\slide1-2.jpg","626.19","1920","999","(not referenced)"
"css\color\img\slider\slide2-2.jpg","591.23","1920","880","(not referenced)"
"img\dish\bhelpuri.png","590.89","800","800","index.html; index_backup.html"
"css\color\img\slider\slide3-2.jpg","529.59","1920","999","(not referenced)"
"img\assembly_hp_hero.png","516.68","1035","850","(not referenced)"
"img\dish\chicken-tandori.jpg","502.21","2500","2011","(not referenced)"
"css\color\img\slider\slide2-1.jpg","500.71","1920","880","(not referenced)"
