"Path","Name","Extension","SizeKB","Width","Height"
"C:\Users\colle\saffron-restaurant\img\collage1.png","collage1.png","PNG","3174.33","1560","1074"
"C:\Users\colle\saffron-restaurant\img\collage2-bkp.png","collage2-bkp.png","PNG","2226.04","1078","1074"
"C:\Users\colle\saffron-restaurant\img\collage2.png","collage2.png","PNG","1641.46","1078","1074"
"C:\Users\colle\saffron-restaurant\img\slider\slide9.jpg","slide9.jpg","JPG","1445.41","4000","2670"
"C:\Users\colle\saffron-restaurant\img\dish\Velvet-Taco.jpg","Velvet-Taco.jpg","JPG","1342.25","5619","3746"
"C:\Users\colle\saffron-restaurant\img\slider\assembly_hp_hero.png","assembly_hp_hero.png","PNG","919.82","1920","999"
"C:\Users\colle\saffron-restaurant\img\spices.png","spices.png","PNG","916.15","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\spices.png","spices.png","PNG","916.15","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide1.png","slide1.png","PNG","816.77","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\authentic.png","authentic.png","PNG","788.13","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide4.png","slide4.png","PNG","767.45","1920","999"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide1-1.jpg","slide1-1.jpg","JPG","719.61","1920","999"
"C:\Users\colle\saffron-restaurant\img\special-dishes-back1.png","special-dishes-back1.png","PNG","675.94","1920","731"
"C:\Users\colle\saffron-restaurant\img\slider\slide2.png","slide2.png","PNG","672.17","1920","999"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide1-3.jpg","slide1-3.jpg","JPG","671.72","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide5.png","slide5.png","PNG","658.17","1920","999"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide1-2.jpg","slide1-2.jpg","JPG","626.19","1920","999"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide2-2.jpg","slide2-2.jpg","JPG","591.23","1920","880"
"C:\Users\colle\saffron-restaurant\img\dish\bhelpuri.png","bhelpuri.png","PNG","590.89","800","800"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide3-2.jpg","slide3-2.jpg","JPG","529.59","1920","999"
"C:\Users\colle\saffron-restaurant\img\assembly_hp_hero.png","assembly_hp_hero.png","PNG","516.68","1035","850"
"C:\Users\colle\saffron-restaurant\img\dish\chicken-tandori.jpg","chicken-tandori.jpg","JPG","502.21","2500","2011"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide2-1.jpg","slide2-1.jpg","JPG","500.71","1920","880"
"C:\Users\colle\saffron-restaurant\img\collage3.jpg","collage3.jpg","JPG","495.62","1078","1074"
"C:\Users\colle\saffron-restaurant\img\paanipuri1.png","paanipuri1.png","PNG","486.96","512","512"
"C:\Users\colle\saffron-restaurant\img\collage3-bkp.jpg","collage3-bkp.jpg","JPG","458.7","1078","1074"
"C:\Users\colle\saffron-restaurant\css\color\img\tasty-menu-back.png","tasty-menu-back.png","PNG","454.06","1920","1224"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide3-3.jpg","slide3-3.jpg","JPG","448.84","1920","999"
"C:\Users\colle\saffron-restaurant\img\tomatosoup.png","tomatosoup.png","PNG","414.58","512","512"
"C:\Users\colle\saffron-restaurant\img\chef\chef2.jpeg","chef2.jpeg","JPEG","396.71","1078","1074"
"C:\Users\colle\saffron-restaurant\img\dish\ice-cream.jpeg","ice-cream.jpeg","JPEG","379.68","800","800"
"C:\Users\colle\saffron-restaurant\img\paanipuri.jpg","paanipuri.jpg","JPG","369.3","1560","1074"
"C:\Users\colle\saffron-restaurant\img\dish\reshmi.png","reshmi.png","PNG","359.19","800","800"
"C:\Users\colle\saffron-restaurant\fonts\fontawesome-webfont.svg","fontawesome-webfont.svg","SVG","357.69",,
"C:\Users\colle\saffron-restaurant\img\chef\chef.jpeg","chef.jpeg","JPEG","342.67","1078","1074"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide3-1.jpg","slide3-1.jpg","JPG","317.98","1920","999"
"C:\Users\colle\saffron-restaurant\img\chef\1.png","1.png","PNG","299.6","470","472"
"C:\Users\colle\saffron-restaurant\img\dish\saffron_chicken.png","saffron_chicken.png","PNG","293.49","1000","600"
"C:\Users\colle\saffron-restaurant\css\color\img\slider\slide2-3.jpg","slide2-3.jpg","JPG","283.25","1920","880"
"C:\Users\colle\saffron-restaurant\css\color\img\client\back.png","back.png","PNG","275.69","1917","678"
"C:\Users\colle\saffron-restaurant\css\color\img\inner-page-banner.jpg","inner-page-banner.jpg","JPG","264.67","1920","723"
"C:\Users\colle\saffron-restaurant\img\dish\client1.png","client1.png","PNG","260.32","739","645"
"C:\Users\colle\saffron-restaurant\img\client\client1.png","client1.png","PNG","260.32","739","645"
"C:\Users\colle\saffron-restaurant\img\dish\saffron_chicken-539.png","saffron_chicken-539.png","PNG","252.92","510","539"
"C:\Users\colle\saffron-restaurant\img\slider\assembly_hp_hero.jpg","assembly_hp_hero.jpg","JPG","247","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\spices.jpg","spices.jpg","JPG","226.59","1920","999"
"C:\Users\colle\saffron-restaurant\img\dish\tandoori-chicken.gif","tandoori-chicken.gif","GIF","224.9","800","800"
"C:\Users\colle\saffron-restaurant\img\slider\slide11.jpg","slide11.jpg","JPG","203","2560","1707"
"C:\Users\colle\saffron-restaurant\img\client\client.jpg","client.jpg","JPG","202.4","1280","500"
"C:\Users\colle\saffron-restaurant\kolambi.jpg","kolambi.jpg","JPG","182.44","800","600"
"C:\Users\colle\saffron-restaurant\css\color\img\single-recipe.jpg","single-recipe.jpg","JPG","180.72","880","516"
"C:\Users\colle\saffron-restaurant\css\color\img\award1-back.jpg","award1-back.jpg","JPG","173.04","1920","804"
"C:\Users\colle\saffron-restaurant\css\color\img\reservation-banner.png","reservation-banner.png","PNG","170.6","325","524"
"C:\Users\colle\saffron-restaurant\img\slider\slide10.jpg","slide10.jpg","JPG","167.38","2560","1707"
"C:\Users\colle\saffron-restaurant\img\special-dishes-back2.jpg","special-dishes-back2.jpg","JPG","167.12","1920","731"
"C:\Users\colle\saffron-restaurant\img\dish\masala-chai.gif","masala-chai.gif","GIF","165.08","800","800"
"C:\Users\colle\saffron-restaurant\img\Rotating-Pizza-Slice-Preloader.gif","Rotating-Pizza-Slice-Preloader.gif","GIF","161.99","880","440"
"C:\Users\colle\saffron-restaurant\img\dish\shakes.jpg","shakes.jpg","JPG","154.21","800","800"
"C:\Users\colle\saffron-restaurant\img\slider\authentic.jpg","authentic.jpg","JPG","146.63","1920","999"
"C:\Users\colle\saffron-restaurant\img\slider\slide5.jpg","slide5.jpg","JPG","146.42","2500","1327"
"C:\Users\colle\saffron-restaurant\css\color\img\client\left-back2.jpg","left-back2.jpg","JPG","143.55","700","673"
"C:\Users\colle\saffron-restaurant\img\special-dishes-back3.jpg","special-dishes-back3.jpg","JPG","142.19","1920","731"
"C:\Users\colle\saffron-restaurant\css\color\img\chef\1.png","1.png","PNG","139.43","470","472"
"C:\Users\colle\saffron-restaurant\img\dish\carrot-halwa.jpg","carrot-halwa.jpg","JPG","136.62","800","800"
"C:\Users\colle\saffron-restaurant\img\chef\12.jpeg","12.jpeg","JPEG","130.58","512","512"
"C:\Users\colle\saffron-restaurant\img\dish\veg-bir.jpg","veg-bir.jpg","JPG","129.34","800","800"
"C:\Users\colle\saffron-restaurant\img\slider\slide1.jpg","slide1.jpg","JPG","128.22","1200","770"
"C:\Users\colle\saffron-restaurant\css\color\img\special-dishes-back.jpg","special-dishes-back.jpg","JPG","128.02","1920","731"
"C:\Users\colle\saffron-restaurant\css\color\img\table-reservation1.jpg","table-reservation1.jpg","JPG","127.8","1920","522"
"C:\Users\colle\saffron-restaurant\css\color\img\blog\5.jpg","5.jpg","JPG","127.59","803","417"
"C:\Users\colle\saffron-restaurant\css\color\img\client\left-back.jpg","left-back.jpg","JPG","126.76","739","645"
"C:\Users\colle\saffron-restaurant\img\chef\about-img.jpeg","about-img.jpeg","JPEG","124.17","512","512"
"C:\Users\colle\saffron-restaurant\img\slider\slide6.jpg","slide6.jpg","JPG","123.75","1500","1000"
